date,link,channel,title
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/zo-blijf-je-als-afrikaans-dictator-lang-aan-de-macht~a4246836/
       ",VK:Voorpagina,<title>Zo blijf je als Afrikaans dictator lang aan de macht</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/televisie/de-man-achter-het-legendarische-nederlandse-zinnetje-uit-friends~a4246829/
       ",VK:Voorpagina,<title>De man achter het legendarische Nederlandse zinnetje uit Friends</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/zo-weinig-op-de-teller-en-nu-al-een-opknapbeurt~a4246866/
       ",VK:Voorpagina,<title>Zo weinig op de teller en nu al een opknapbeurt?</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/toezichthouder-consument-leent-te-veel-door-lage-rente~a4246859/
       ",VK:Voorpagina,<title>Toezichthouder: consument leent te veel door lage rente</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/hele-reeks-shop-in-shops-ook-getroffen-door-ondergang-vend~a4246869/
       ",VK:Voorpagina,<title>Hele reeks shop-in-shops ook getroffen door ondergang V&amp;D</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/politiek/veel-plannen-nauwelijks-uitvoering~a4246846/
       ",VK:Voorpagina,"<title>Veel plannen, nauwelijks uitvoering</title>"
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/hoe-groot-wilders-ook-wordt-hij-zal-niet-regeren~a4246813/
       ",VK:Voorpagina,"<title>Hoe groot Wilders ook wordt, hij zal niet regeren</title>"
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/lords-moeten-inbinden-wetten-blijven-op-kalfshuid-geschreven~a4246870/
       ",VK:Voorpagina,<title>Lords moeten inbinden: wetten blijven op kalfshuid geschreven</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/magazine/ik-trad-voor-de-zoveelste-keer-op-met-liesbeth~a4246801/
       ",VK:Voorpagina,<title>Ik trad voor de zoveelste keer op met Liesbeth</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/uitzendkracht-moet-steeds-langer-op-vaste-baan-wachten~a4246804/
       ",VK:Voorpagina,<title>Uitzendkracht moet steeds langer op vaste baan wachten</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/film/oscars-goodiebag-wc-papier-en-tripje-naar-het-heilige-land~a4246747/
       ",VK:Voorpagina,<title>Oscars-goodiebag: wc-papier en tripje naar het 'heilige' land</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/de-val-van-vend-is-een-waarschuwing~a4246821/
       ",VK:Voorpagina,<title>De val van V&amp;D is een waarschuwing</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/cartoons/ibrahim-kargbo~a4246697/
       ",VK:Voorpagina,<title>Ibrahim Kargbo</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/china-wil-vs-niet-in-zijn-achtertuin~a4246854/
       ",VK:Voorpagina,<title>China wil VS niet in zijn achtertuin</title>
"Thu, 18 Feb 2016 01:17:00 GMT","http://www.volkskrant.nl/buitenland/betoging-in-bolivia-loopt-uit-de-hand-zes-doden~a4247065/
       ",VK:Voorpagina,<title>Betoging in Bolivia loopt uit de hand: zes doden</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/media/runner-s-world-koploper-in-tijdschriftenland~a4246832/
       ",VK:Voorpagina,<title>Runner's World koploper in tijdschriftenland</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/film/filmmaker-joachim-trier-in-de-close-up-schuilt-magie~a4246855/
       ",VK:Voorpagina,<title>Filmmaker Joachim Trier: 'In de close-up schuilt magie'</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/televisie/de-volkskrant-tv-selectie-voor-18-februari~a4246678/
       ",VK:Voorpagina,<title>De Volkskrant tv-selectie voor 18 februari</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/wetenschap/-de-bodem-is-een-soort-reageerbuis~a4246872/
       ",VK:Voorpagina,<title>'De bodem is een soort reageerbuis'</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/beeldende-kunst/-zelf-bezit-ik-al-meer-dan-tachtig-beelden-van-mijn-opa~a4246865/
       ",VK:Voorpagina,<title>'Zelf bezit ik al meer dan tachtig beelden van mijn opa'</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/media/dekker-krijgt-pijnlijk-lesje-in-haags-hilversums-labyrint~a4246858/
       ",VK:Voorpagina,<title>Dekker krijgt pijnlijk lesje in Haags-Hilversums labyrint</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/buitenland/keizer-wilhelm-ii-krijgt-postuum-nog-levenslang~a4246845/
       ",VK:Voorpagina,<title>Keizer Wilhelm II krijgt postuum nog levenslang</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/sport/passie-van-rojer-is-inspirerend~a4246842/
       ",VK:Voorpagina,<title>Passie van Rojer is inspirerend</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/almelo-wil-bewijzen-er-is-leven-na-de-vend-dood~a4246868/
       ",VK:Voorpagina,<title>Almelo wil bewijzen: er is leven na de V&amp;D-dood</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/economie/deze-twee-ketens-kunnen-straks-vend-s-leegstand-opvullen~a4246825/
       ",VK:Voorpagina,<title>Deze twee ketens kunnen straks V&amp;D's leegstand opvullen</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/moet-vend-een-museum-krijgen~a4246822/
       ",VK:Voorpagina,<title>Moet V&amp;D een museum krijgen?</title>
"Thu, 18 Feb 2016 01:00:00 GMT","http://www.volkskrant.nl/opinie/cyberoorlog-is-goed-alternatief-voor-obama~a4246862/
       ",VK:Voorpagina,<title>Cyberoorlog is goed alternatief voor Obama</title>
